soil_moisture,current_temperature,current_humidity,minutes_since_last_watering,water_requirement_level,root_depth_cm,drought_tolerance,soil_type_encoded,soil_compaction,slope_degrees,hour_of_day,day_of_year,season,should_water,duration_minutes,intensity_percent,crop_name,soil_type
67.2,21.7,58.9,435,3,80,3,1,73.6,0.7,15,36,4,0,0,0,fava_bean,sandy
17.5,22.9,62.2,997,4,60,2,1,51.5,1.0,6,280,3,1,32,46,zucchini,sandy
43.4,7.5,83.2,1329,4,50,2,2,73.9,9.6,1,293,3,1,23,39,cauliflower,loam
63.5,37.6,42.7,286,3,60,2,1,45.3,0.6,13,190,2,0,0,0,peas,sandy
0.0,20.3,63.7,780,4,75,2,2,41.7,2.6,8,312,3,1,88,44,eggplant,loam
4.0,24.5,53.0,1204,5,40,1,1,81.8,3.1,14,102,1,1,56,32,mint,sandy
22.3,5.0,78.6,2033,2,120,4,2,79.5,11.6,23,59,4,1,12,23,barley,loam
66.5,5.1,80.0,1235,3,140,3,1,65.3,0.7,2,103,1,0,0,0,wheat_soft,sandy
0.0,25.1,53.7,1816,2,250,5,3,42.8,4.4,8,108,1,1,40,27,olive,clay
57.2,22.0,55.2,199,4,60,2,1,22.7,0.0,6,177,2,0,0,0,potato,sandy
11.3,18.9,61.4,826,2,120,4,3,35.1,1.9,20,319,3,1,36,27,barley,clay
78.6,5.0,72.5,508,4,180,2,2,30.0,1.6,3,5,4,0,0,0,watermelon,loam
77.0,14.9,65.6,2412,4,180,2,1,36.4,0.0,2,137,1,0,0,0,watermelon,sandy
0.0,24.2,63.6,2808,2,100,4,2,37.4,6.8,14,318,3,1,29,30,chickpea,loam
26.9,18.9,62.4,1244,4,50,2,2,30.4,1.6,19,133,1,1,34,52,pepper_sweet,loam
62.8,11.8,68.1,961,3,150,3,2,74.6,3.1,18,344,3,0,0,0,wheat_durum,loam
0.0,28.0,49.5,1004,3,60,2,2,24.3,1.6,3,193,2,1,61,38,peas,loam
0.0,32.4,57.0,1106,4,60,2,3,29.8,7.7,15,285,3,1,90,22,potato,clay
14.6,23.5,74.0,378,3,50,2,1,33.2,0.2,16,281,3,1,22,46,cabbage,sandy
20.3,18.7,64.2,243,4,50,2,1,30.5,1.3,12,46,4,1,21,63,cauliflower,sandy
0.0,26.6,55.3,1311,3,30,2,3,67.1,1.5,16,95,1,1,86,21,coriander,clay
52.4,26.6,56.6,182,3,140,3,2,28.6,1.1,5,225,2,0,0,0,wheat_soft,loam
14.9,25.8,62.2,656,3,60,2,2,63.0,1.1,20,264,2,1,50,38,peas,loam
0.0,24.6,47.7,1031,4,180,2,3,48.2,3.0,14,301,3,1,90,27,watermelon,clay
0.0,37.3,41.5,455,4,180,2,2,47.7,0.7,8,207,2,1,90,38,watermelon,loam
61.2,30.2,46.4,73,4,60,2,3,35.3,4.4,15,262,2,0,0,0,zucchini,clay
72.8,21.8,53.0,440,3,40,3,2,26.2,3.9,6,318,3,0,0,0,turnip,loam
29.2,7.2,69.3,2570,4,50,2,3,48.0,0.5,4,10,4,1,57,37,pepper_sweet,clay
0.0,23.2,61.2,1924,3,50,2,1,84.1,3.4,11,44,4,1,30,32,cabbage,sandy
44.1,12.8,76.4,2185,2,250,5,2,53.5,1.0,23,276,3,1,5,70,olive,loam
0.0,14.6,63.4,2610,2,250,5,3,64.4,1.0,18,358,4,1,44,27,olive,clay
65.1,27.7,60.4,491,2,250,5,3,68.9,3.7,7,220,2,0,0,0,olive,clay
11.6,31.2,52.6,1136,3,50,2,1,41.1,0.7,11,279,3,1,23,46,cabbage,sandy
0.0,29.0,52.7,762,3,30,2,3,79.4,1.6,17,330,3,1,90,20,coriander,clay
86.7,13.8,69.8,1258,4,30,2,1,80.7,0.7,7,21,4,0,0,0,parsley,sandy
52.5,14.1,66.4,755,2,120,4,2,31.8,1.1,8,2,4,0,0,0,barley,loam
0.0,35.0,46.9,511,2,250,5,3,34.8,5.7,14,173,2,1,37,22,olive,clay
0.0,25.6,54.2,1374,3,80,3,2,58.1,0.3,11,100,1,1,56,38,fava_bean,loam
29.6,29.0,47.9,577,2,100,4,2,49.0,2.1,6,254,2,1,5,52,chickpea,loam
0.0,20.1,52.7,1100,3,150,3,2,24.4,3.4,9,73,4,1,51,38,wheat_durum,loam
40.8,13.5,67.5,774,3,40,3,1,82.5,1.3,23,209,2,1,5,59,turnip,sandy
24.8,28.4,54.3,679,2,100,4,1,36.7,1.6,10,144,1,1,5,63,chickpea,sandy
59.9,34.1,41.5,71,5,90,1,2,53.5,5.0,13,249,2,0,0,0,cucumber,loam
0.0,37.6,46.1,625,4,60,2,3,41.0,10.7,13,216,2,1,90,20,tomato,clay
0.0,23.7,61.6,731,4,75,2,2,29.5,0.7,14,321,3,1,89,38,eggplant,loam
23.0,12.0,79.2,642,3,30,3,2,32.5,4.9,18,316,3,1,24,52,onion,loam
10.0,26.6,57.8,664,4,60,2,1,34.4,5.9,15,80,1,1,36,37,tomato,sandy
2.9,38.0,38.2,272,2,250,5,2,64.3,5.7,10,229,2,1,23,30,olive,loam
0.0,36.9,40.2,1273,2,120,4,3,35.8,6.9,12,191,2,1,44,22,barley,clay
70.9,24.0,53.7,258,4,30,2,1,70.8,1.7,17,129,1,0,0,0,parsley,sandy
36.7,5.0,76.1,1118,3,150,3,1,20.8,1.9,2,8,4,1,5,85,wheat_durum,sandy
37.6,5.6,78.1,1608,4,75,2,3,70.9,0.5,4,352,3,1,49,35,eggplant,clay
0.0,33.2,47.7,1384,3,40,3,2,72.8,12.1,9,164,1,1,58,20,turnip,loam
0.0,36.1,45.7,485,4,150,2,2,40.6,3.6,15,213,2,1,89,38,lemon,loam
5.7,20.9,49.4,1180,4,180,2,1,64.5,0.2,16,86,1,1,43,46,watermelon,sandy
50.3,15.1,62.0,2687,4,300,3,2,30.5,6.9,7,19,4,1,5,56,date_palm,loam
62.7,36.2,42.5,789,4,50,2,1,69.5,10.4,7,219,2,0,0,0,cauliflower,sandy
0.0,27.7,55.9,2582,3,30,3,2,65.2,5.7,16,132,1,1,56,30,onion,loam
0.0,44.8,39.0,1261,2,100,4,3,37.5,1.7,13,186,2,1,44,23,chickpea,clay
13.7,23.8,48.2,1379,3,140,3,1,58.9,8.0,6,173,2,1,18,37,wheat_soft,sandy
21.0,21.1,58.0,605,2,120,4,2,58.1,6.2,16,75,4,1,14,42,barley,loam
0.0,15.1,72.0,2424,3,150,3,3,79.1,1.6,19,74,4,1,86,20,wheat_durum,clay
13.7,29.9,40.7,915,2,250,5,1,30.2,1.7,9,163,1,1,10,49,olive,sandy
30.5,21.2,63.6,1090,2,250,5,2,60.6,7.9,6,148,1,1,7,42,olive,loam
0.0,39.5,36.5,557,3,50,2,3,34.8,0.8,11,196,2,1,90,23,cabbage,clay
42.9,14.6,71.0,211,4,180,2,1,71.2,4.1,6,66,4,1,12,59,watermelon,sandy
0.0,29.1,46.2,621,4,150,2,2,21.8,0.1,18,232,2,1,90,38,lemon,loam
60.1,23.4,55.8,987,4,60,2,1,61.8,0.4,7,307,3,1,5,85,potato,sandy
34.0,21.7,58.0,735,3,30,3,2,73.3,6.8,12,40,4,1,16,29,onion,loam
75.7,18.5,64.3,930,3,140,3,1,73.5,0.4,23,260,2,0,0,0,wheat_soft,sandy
56.2,22.7,47.1,220,2,250,5,1,31.3,1.4,12,364,4,0,0,0,olive,sandy
0.0,28.3,52.4,1563,4,60,2,1,68.1,3.9,16,150,1,1,40,46,potato,sandy
0.0,27.2,48.2,430,4,30,2,3,69.8,11.1,9,303,3,1,90,20,parsley,clay
74.1,20.9,60.4,605,4,60,2,1,47.4,7.8,6,328,3,0,0,0,zucchini,sandy
20.4,42.3,42.3,148,5,90,1,1,27.8,0.1,14,251,2,1,33,54,cucumber,sandy
34.7,13.9,70.3,673,3,50,3,3,60.7,1.1,18,68,4,1,29,37,pepper_hot,clay
73.2,29.3,54.1,206,4,300,3,2,53.6,3.9,19,201,2,0,0,0,date_palm,loam
11.0,30.6,51.4,266,4,60,2,2,83.1,13.7,15,157,1,1,72,20,tomato,loam
8.0,19.5,53.3,228,4,60,2,2,50.5,0.9,8,136,1,1,81,38,zucchini,loam
1.6,21.2,53.5,760,3,150,3,1,73.1,6.9,11,341,3,1,23,26,wheat_durum,sandy
16.5,17.2,55.0,699,4,300,3,2,59.5,6.9,11,45,4,1,49,30,date_palm,loam
10.5,19.3,58.0,824,5,90,1,2,27.9,0.8,15,340,3,1,90,38,cucumber,loam
0.0,11.2,72.0,2676,4,300,3,1,54.7,0.3,18,39,4,1,42,46,date_palm,sandy
0.0,20.1,74.2,2286,2,100,4,1,39.9,4.7,18,294,3,1,20,44,chickpea,sandy
12.1,30.9,62.0,598,2,120,4,2,22.9,1.5,10,100,1,1,21,38,barley,loam
8.5,27.5,60.2,1149,4,50,2,1,30.9,1.9,13,325,3,1,37,46,cauliflower,sandy
60.0,10.8,76.8,2447,3,30,3,2,48.9,5.3,6,30,4,0,0,0,onion,loam
4.1,30.6,47.1,1078,3,30,3,3,66.1,0.4,7,162,1,1,79,27,onion,clay
0.0,22.5,53.4,1376,4,180,2,1,41.2,1.6,17,111,1,1,54,46,watermelon,sandy
21.0,34.0,49.3,326,4,180,2,2,23.8,8.4,10,267,3,1,68,42,watermelon,loam
1.4,39.0,38.6,598,3,30,3,2,52.0,1.2,9,228,2,1,52,25,onion,loam
38.9,29.2,39.3,679,3,80,3,3,21.2,6.1,19,225,2,1,21,40,fava_bean,clay
57.3,17.8,70.6,1640,4,60,2,1,68.0,6.4,21,286,3,1,5,68,potato,sandy
21.0,34.9,42.9,142,3,150,3,1,55.7,1.3,16,265,2,1,9,63,wheat_durum,sandy
0.0,33.3,40.6,1284,2,100,4,1,76.1,0.8,12,144,1,1,14,32,chickpea,sandy
46.0,22.0,68.0,1127,5,90,1,2,60.6,6.1,6,281,3,1,33,56,cucumber,loam
14.7,17.7,67.0,1764,3,30,3,1,32.3,6.3,7,119,1,1,19,37,garlic,sandy
0.0,21.6,62.1,2368,2,250,5,3,48.2,1.8,8,107,1,1,40,27,olive,clay
0.0,35.6,46.7,1221,4,180,2,3,65.7,2.6,16,213,2,1,90,27,watermelon,clay
21.1,29.8,50.3,279,3,50,2,2,66.8,7.2,14,146,1,1,37,42,cabbage,loam
73.3,15.5,74.0,223,4,150,2,1,77.9,0.6,9,3,4,0,0,0,melon,sandy
96.1,12.3,57.6,409,3,30,3,2,58.7,0.0,6,337,3,0,0,0,garlic,loam
62.7,21.8,53.8,71,2,120,4,2,41.6,6.4,5,181,2,0,0,0,barley,loam
0.0,28.9,49.9,2668,3,60,2,1,33.5,16.5,15,111,1,1,30,30,peas,sandy
0.0,35.5,48.5,686,4,50,2,2,33.3,5.7,13,133,1,1,89,30,cauliflower,loam
0.0,25.0,59.8,967,4,60,2,3,66.0,2.9,10,321,3,1,90,27,zucchini,clay
75.8,12.9,65.0,414,5,90,1,2,48.1,0.1,5,46,4,0,0,0,cucumber,loam
0.0,13.2,72.1,2736,5,90,1,2,24.8,7.9,8,351,3,1,90,30,cucumber,loam
16.2,19.8,65.9,600,4,60,2,2,70.8,6.6,18,141,1,1,74,21,tomato,loam
0.0,25.2,61.0,2040,4,60,2,2,78.2,9.8,12,322,3,1,89,21,tomato,loam
15.1,13.8,67.5,2729,3,80,3,3,45.1,18.2,3,163,1,1,57,20,fava_bean,clay
5.4,17.4,78.5,1571,3,40,3,2,69.3,18.7,18,278,3,1,57,25,turnip,loam
0.0,18.8,61.5,2433,3,80,3,2,39.2,4.8,9,41,4,1,58,38,fava_bean,loam
42.8,34.6,44.9,444,2,120,4,2,20.0,8.7,9,181,2,0,0,0,barley,loam
0.0,21.7,63.7,2842,2,250,5,2,39.7,0.7,8,332,3,1,26,38,olive,loam
51.0,40.2,39.7,107,3,150,3,1,53.6,0.5,10,241,2,0,0,0,wheat_durum,sandy
9.9,40.8,36.9,185,2,250,5,2,66.4,7.5,12,191,2,1,18,26,olive,loam
100.0,5.7,82.7,307,4,180,2,2,81.6,4.3,22,340,3,0,0,0,watermelon,loam
0.0,27.4,53.0,959,4,75,2,2,54.7,1.1,18,270,3,1,90,38,eggplant,loam
27.1,33.1,53.3,303,3,150,3,1,80.8,1.7,9,151,1,1,9,44,wheat_durum,sandy
0.0,28.5,54.2,2604,4,60,2,2,25.5,0.7,11,97,1,1,81,38,potato,loam
30.6,18.6,67.2,441,5,40,1,1,49.3,14.6,23,248,2,1,30,41,mint,sandy
0.0,38.9,50.6,827,3,50,2,2,29.4,1.2,13,266,3,1,59,30,cabbage,loam
0.0,44.5,30.6,1381,3,40,3,2,36.2,0.0,13,207,2,1,56,32,turnip,loam
23.1,5.0,86.1,441,4,30,2,2,81.1,6.4,3,25,4,1,54,29,parsley,loam
74.4,5.6,76.7,391,5,90,1,2,20.6,1.2,19,341,3,0,0,0,cucumber,loam
29.5,5.0,68.2,1162,4,60,2,2,58.7,0.7,1,47,4,1,32,52,tomato,loam
0.0,27.1,48.0,1164,5,40,1,2,55.0,4.2,13,91,1,1,90,38,mint,loam
10.9,14.0,58.0,2848,3,150,3,1,52.7,0.1,19,107,1,1,21,46,wheat_durum,sandy
67.9,20.5,61.9,456,2,100,4,1,38.8,0.6,15,348,3,0,0,0,chickpea,sandy
41.1,14.0,72.2,1864,3,30,3,2,81.2,1.8,19,302,3,1,11,49,onion,loam
27.6,5.9,71.1,1365,3,30,3,2,45.0,4.6,0,313,3,1,17,52,garlic,loam
0.0,30.0,46.8,1383,4,75,2,2,35.9,0.1,10,122,1,1,90,38,eggplant,loam
0.0,24.4,61.4,2079,4,50,2,2,57.4,0.0,11,330,3,1,81,38,pepper_sweet,loam
36.7,26.1,55.8,1387,2,250,5,1,50.8,1.1,12,314,3,0,0,0,olive,sandy
65.4,14.4,64.9,2097,4,25,1,2,73.3,0.8,7,336,3,0,0,0,lettuce,loam
29.6,33.6,48.8,293,3,50,2,3,49.3,10.8,7,204,2,1,44,24,cabbage,clay
0.0,22.3,55.6,661,3,50,3,3,44.6,7.1,10,62,4,1,88,22,pepper_hot,clay
16.0,16.2,68.3,1119,2,100,4,2,68.2,3.2,17,318,3,1,19,38,chickpea,loam
17.4,35.4,41.9,497,4,150,2,1,33.1,0.6,14,245,2,1,35,46,melon,sandy
0.0,22.4,61.4,1341,3,50,2,2,61.4,3.4,11,346,3,1,61,38,cabbage,loam
30.7,15.3,74.5,2129,4,180,2,1,34.1,3.6,22,279,3,1,18,63,watermelon,sandy
41.6,23.0,66.0,222,3,40,3,1,26.2,4.0,19,255,2,1,5,85,turnip,sandy
0.0,24.8,60.1,1507,4,50,2,1,53.3,0.0,9,304,3,1,42,46,pepper_sweet,sandy
30.5,33.1,47.3,292,4,30,2,1,54.3,8.0,8,153,1,1,16,51,parsley,sandy
36.4,29.6,54.5,502,3,150,3,2,83.3,5.3,6,210,2,1,9,39,wheat_durum,loam
1.4,14.4,60.8,1257,5,90,1,2,79.2,1.3,3,142,1,1,90,26,cucumber,loam
36.8,33.1,39.3,252,3,60,2,2,83.5,4.3,14,128,1,1,19,49,peas,loam
63.2,28.5,50.2,130,3,150,3,3,73.1,1.7,18,207,2,0,0,0,wheat_durum,clay
96.5,21.8,65.6,1139,4,60,2,2,41.2,0.6,6,271,3,0,0,0,potato,loam
59.7,21.6,55.5,534,4,60,2,2,72.2,0.3,10,338,3,0,0,0,potato,loam
0.0,21.6,55.1,1832,3,50,3,2,84.5,1.3,9,106,1,1,58,26,pepper_hot,loam
0.0,42.7,35.2,436,3,30,3,3,46.4,0.7,12,201,2,1,84,23,onion,clay
0.0,25.0,57.4,1431,2,250,5,1,75.5,4.4,16,281,3,1,12,32,olive,sandy
24.3,28.0,57.8,404,2,250,5,1,63.7,0.4,5,256,2,1,5,63,olive,sandy
0.0,29.5,56.9,2310,4,30,2,2,58.3,6.6,9,273,3,1,90,30,parsley,loam
0.0,15.5,62.0,2088,4,75,2,2,79.2,1.0,2,171,1,1,89,26,eggplant,loam
39.3,40.3,41.1,162,5,40,1,1,80.0,1.4,10,265,2,1,18,50,mint,sandy
22.9,22.0,63.7,452,4,25,2,1,42.4,16.0,10,56,4,1,28,41,strawberry,sandy
0.0,29.1,50.6,719,4,150,2,1,66.5,1.4,16,244,2,1,44,46,orange,sandy
0.0,37.2,40.0,432,4,60,2,2,37.7,0.7,11,208,2,1,89,38,tomato,loam
3.5,35.9,38.1,605,3,30,3,2,77.5,7.5,16,195,2,1,51,21,garlic,loam
36.9,18.7,69.7,1344,4,60,2,2,39.5,1.2,6,116,1,1,20,70,potato,loam
0.0,41.9,40.2,1162,3,30,3,1,20.7,1.7,13,227,2,1,28,39,onion,sandy
44.6,5.6,89.3,1334,3,140,3,1,56.9,17.8,2,360,4,1,5,55,wheat_soft,sandy
0.0,22.8,65.4,2096,3,40,3,2,73.5,1.6,8,278,3,1,58,26,turnip,loam
0.0,22.1,60.2,745,3,30,3,2,39.7,2.7,10,14,4,1,58,38,onion,loam
27.7,18.1,70.4,1483,4,60,2,2,70.3,0.1,19,273,3,1,54,36,tomato,loam
48.4,25.3,60.9,567,4,25,1,1,34.1,8.3,11,65,4,1,6,68,lettuce,sandy
45.3,12.3,69.1,1377,2,250,5,1,50.2,0.8,21,280,3,1,5,85,olive,sandy
41.5,31.9,46.6,65,4,180,2,2,48.2,11.3,15,173,2,0,0,0,watermelon,loam
1.5,21.9,53.4,795,2,250,5,3,46.0,1.6,16,337,3,1,36,27,olive,clay
0.0,28.4,41.0,1814,3,40,3,1,31.1,0.8,8,125,1,1,29,46,carrot,sandy
0.0,33.5,48.4,1083,4,30,2,2,23.3,0.1,8,266,3,1,90,38,parsley,loam
19.7,39.5,37.9,76,4,60,2,3,44.4,2.3,13,246,2,0,0,0,potato,clay
6.6,34.2,46.5,1150,3,140,3,1,68.9,0.1,11,292,3,1,21,46,wheat_soft,sandy
0.0,23.9,47.1,2131,2,120,4,1,73.8,1.2,16,148,1,1,14,32,barley,sandy
74.8,13.7,68.4,479,3,50,2,1,22.9,1.3,18,70,4,0,0,0,cabbage,sandy
0.0,36.2,43.8,323,4,60,2,2,60.3,0.8,15,159,1,1,81,38,potato,loam
0.0,17.6,60.9,1929,4,60,2,3,26.7,7.9,17,341,3,1,90,28,potato,clay
0.0,19.9,62.8,1907,4,150,2,1,60.6,1.5,9,84,1,1,50,46,melon,sandy
16.4,11.2,59.5,2008,3,150,3,1,36.8,0.1,19,89,1,1,18,46,wheat_durum,sandy
74.3,14.5,56.5,925,2,250,5,1,72.0,18.2,1,125,1,0,0,0,olive,sandy
0.0,30.0,52.7,2444,4,180,2,1,80.1,0.7,14,164,1,1,47,32,watermelon,sandy
0.0,30.0,50.2,655,4,300,3,2,38.7,0.6,12,169,1,1,74,38,date_palm,loam
13.4,23.4,62.4,1967,3,30,3,2,84.3,0.5,19,291,3,1,46,26,onion,loam
0.0,28.5,49.2,792,3,60,2,2,43.7,1.5,9,111,1,1,64,38,peas,loam
56.5,31.3,39.4,496,2,250,5,1,34.7,1.1,17,188,2,0,0,0,olive,sandy
0.0,40.6,31.7,714,2,250,5,1,52.4,3.5,13,207,2,1,12,39,olive,sandy
0.0,24.8,51.2,1285,4,50,2,2,79.2,3.9,12,359,4,1,89,26,cauliflower,loam
0.0,25.0,55.7,992,4,50,2,2,42.5,1.6,10,11,4,1,85,38,pepper_sweet,loam
0.0,44.4,30.1,228,5,90,1,2,24.0,15.8,11,217,2,1,90,21,cucumber,loam
12.4,22.6,57.2,1354,4,180,2,1,23.8,1.1,6,161,1,1,40,46,watermelon,sandy
50.6,18.9,56.0,987,3,140,3,3,69.1,1.2,6,355,3,1,5,50,wheat_soft,clay
100.0,6.0,74.3,408,3,150,3,2,53.6,1.2,22,346,3,0,0,0,wheat_durum,loam
0.0,39.2,31.1,1326,3,150,3,1,28.3,17.0,13,161,1,1,25,25,wheat_durum,sandy
3.6,16.8,67.9,612,5,90,1,1,36.1,1.7,8,22,4,1,64,46,cucumber,sandy
48.1,31.0,43.0,866,3,150,3,1,68.2,5.6,13,330,3,0,0,0,wheat_durum,sandy
56.4,8.5,86.5,832,4,150,2,1,36.8,7.5,1,85,1,1,5,68,lemon,sandy
39.1,14.7,70.4,1163,3,30,3,3,64.5,1.9,7,306,3,1,13,50,onion,clay
51.9,36.0,46.1,256,4,150,2,1,82.9,1.1,15,232,2,1,5,59,lemon,sandy
49.0,22.9,57.0,552,3,50,3,2,84.5,0.5,19,175,2,1,7,49,pepper_hot,loam
34.3,43.3,38.5,185,2,250,5,3,23.9,1.4,11,220,2,0,0,0,olive,clay
46.6,30.1,44.2,147,4,60,2,2,43.3,1.2,6,173,2,1,15,70,zucchini,loam
0.0,24.2,58.1,777,4,180,2,2,51.7,0.3,15,347,3,1,87,38,watermelon,loam
24.3,26.9,57.8,940,3,80,3,2,46.5,1.0,7,259,2,1,21,52,fava_bean,loam
14.4,27.9,48.9,670,2,250,5,2,48.3,5.5,9,129,1,1,15,30,olive,loam
45.6,30.9,60.7,635,2,250,5,1,39.1,4.0,10,244,2,0,0,0,olive,sandy
36.2,24.9,51.8,1372,3,150,3,1,78.3,3.3,16,109,1,1,5,59,wheat_durum,sandy
23.8,15.7,65.3,2593,4,30,2,1,70.8,1.5,7,60,4,1,28,44,parsley,sandy
0.0,41.8,31.9,1211,4,180,2,1,46.3,17.4,9,195,2,1,50,25,watermelon,sandy
100.0,5.0,79.0,186,4,60,2,3,25.4,14.6,1,7,4,0,0,0,potato,clay
64.9,35.7,41.6,200,4,75,2,1,40.3,9.6,9,126,1,0,0,0,eggplant,sandy
62.8,28.2,54.2,409,2,100,4,1,76.7,0.3,9,112,1,0,0,0,chickpea,sandy
2.2,30.4,53.2,312,4,60,2,2,83.8,1.9,11,178,2,1,85,26,zucchini,loam
0.0,35.5,41.3,941,2,250,5,1,65.2,9.6,9,206,2,1,12,37,olive,sandy
87.4,13.5,74.1,812,4,300,3,2,53.0,0.3,10,334,3,0,0,0,date_palm,loam
0.0,27.8,47.6,627,3,150,3,3,63.0,1.5,15,122,1,1,75,27,wheat_durum,clay
34.6,31.2,53.5,191,2,250,5,2,67.6,6.3,13,265,2,0,0,0,olive,loam
13.8,27.8,56.8,948,3,140,3,1,68.8,0.5,8,284,3,1,18,46,wheat_soft,sandy
0.0,25.4,58.8,542,4,60,2,3,69.0,5.2,17,286,3,1,90,22,zucchini,clay
79.7,15.4,66.7,678,3,40,3,1,34.6,4.6,19,128,1,0,0,0,carrot,sandy
